X;Exactly;Numeric E;Numeric RK;Error E;Error RK
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.010000;0.000000;0.000000;0.000000;0.000000;0.000000
0.020000;0.000001;0.000001;0.000001;0.000000;0.000000
0.030000;0.000003;0.000002;0.000002;0.000000;0.000000
0.040000;0.000006;0.000006;0.000006;0.000000;0.000000
0.050000;0.000013;0.000012;0.000013;0.000001;0.000000
0.060000;0.000024;0.000023;0.000023;0.000001;0.000001
0.070000;0.000041;0.000039;0.000040;0.000002;0.000001
0.080000;0.000066;0.000062;0.000065;0.000004;0.000001
0.090000;0.000100;0.000094;0.000099;0.000006;0.000001
0.100000;0.000146;0.000138;0.000145;0.000009;0.000001
0.110000;0.000207;0.000195;0.000206;0.000012;0.000002
0.120000;0.000286;0.000269;0.000284;0.000016;0.000002
0.130000;0.000384;0.000363;0.000382;0.000021;0.000002
0.140000;0.000506;0.000479;0.000504;0.000028;0.000003
0.150000;0.000655;0.000620;0.000652;0.000035;0.000003
0.160000;0.000835;0.000792;0.000832;0.000044;0.000003
0.170000;0.001050;0.000996;0.001046;0.000054;0.000004
0.180000;0.001303;0.001238;0.001299;0.000065;0.000004
0.190000;0.001600;0.001522;0.001596;0.000078;0.000004
0.200000;0.001945;0.001852;0.001940;0.000093;0.000005
0.210000;0.002343;0.002233;0.002337;0.000109;0.000005
0.220000;0.002798;0.002671;0.002792;0.000127;0.000006
0.230000;0.003318;0.003170;0.003311;0.000148;0.000006
0.240000;0.003906;0.003736;0.003899;0.000170;0.000007
0.250000;0.004570;0.004375;0.004562;0.000195;0.000008
0.260000;0.005314;0.005093;0.005306;0.000222;0.000008
0.270000;0.006147;0.005896;0.006138;0.000251;0.000009
0.280000;0.007073;0.006790;0.007063;0.000283;0.000009
0.290000;0.008100;0.007783;0.008090;0.000317;0.000010
0.300000;0.009235;0.008881;0.009224;0.000355;0.000011
0.310000;0.010486;0.010091;0.010474;0.000395;0.000011
0.320000;0.011859;0.011421;0.011847;0.000438;0.000012
